"Bank Transfer Date","Amount","Reference","From Bank Account Name","To Bank Account Name","Exchange Rate","Trans #"
"27/08/2024","4,271.20","","12000","1001",,"10,522"
"29/08/2024","1,045.00","","12000","1001",,"10,523"
