"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","Total","InventoryItemCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount","TrackingName1","TrackingOption1","TrackingName2","TrackingOption2","Currency","Branding Theme"
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225677/1    XO51RW    30.86t    Fill Sand Will",30.86,10.000000000000002,"","411000","GST on Income",30.86,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225934/1    FHE620    37.60t    Fill Sand Will",37.6,10,"","411000","GST on Income",37.6,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225936/1    XO25FD    37.22t    Fill Sand Will",37.22,10,"","411000","GST on Income",37.22,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225683/1    XO25FD    36.90t    Fill Sand Will",36.9,10,"","411000","GST on Income",36.9,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225939/1    FHE600    35.96t    Fill Sand Will",35.96,10,"","411000","GST on Income",35.96,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225940/1    FHE610    37.44t    Fill Sand Will",37.44,10,"","411000","GST on Income",37.44,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225685/1    XO40BG    37.88t    Fill Sand Will",37.88,10,"","411000","GST on Income",37.88,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225686/1    XO20CL    31.76t    Fill Sand Will",31.76,10,"","411000","GST on Income",31.76,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225942/1    FHE480    36.80t    Fill Sand Will",36.8,10,"","411000","GST on Income",36.8,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225688/1    XO72FQ    30.86t    Fill Sand Will",30.86,10.000000000000002,"","411000","GST on Income",30.86,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225944/1    XN15KO    37.04t    Fill Sand Will",37.04,10,"","411000","GST on Income",37.04,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225433/1    FHE620    37.38t    Fill Sand Will",37.38,10,"","411000","GST on Income",37.38,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225434/1    FHE222    31.08t    Fill Sand Will",31.08,10.000000000000002,"","411000","GST on Income",31.08,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225690/1    XO51RW    30.96t    Fill Sand Will",30.96,10,"","411000","GST on Income",30.96,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225435/1    FHE610    37.40t    Fill Sand Will",37.4,10,"","411000","GST on Income",37.4,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225438/1    XN15KO    36.76t    Fill Sand Will",36.76,10.000000000000002,"","411000","GST on Income",36.76,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225440/1    XO25FD    37.18t    Fill Sand Will",37.18,10,"","411000","GST on Income",37.18,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225446/1    XO20CL    31.86t    Fill Sand Will",31.86,10.000000000000002,"","411000","GST on Income",31.86,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225449/1    FHE620    37.50t    Fill Sand Will",37.5,10,"","411000","GST on Income",37.5,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225451/1    FHE222    31.32t    Fill Sand Will",31.32,10,"","411000","GST on Income",31.32,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225452/1    FHE610    37.38t    Fill Sand Will",37.38,10,"","411000","GST on Income",37.38,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225455/1    XN15KO    36.86t    Fill Sand Will",36.86,10,"","411000","GST on Income",36.86,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225458/1    XO25FD    37.40t    Fill Sand Will",37.4,10,"","411000","GST on Income",37.4,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225462/1    XO20CL    31.80t    Fill Sand Will",31.8,10,"","411000","GST on Income",31.8,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225469/1    XO72FQ    31.06t    Fill Sand Will",31.06,10.000000000000002,"","411000","GST on Income",31.06,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225471/1    FHE620    37.64t    Fill Sand Will",37.64,10,"","411000","GST on Income",37.64,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225472/1    FHE222    31.32t    Fill Sand Will",31.32,10,"","411000","GST on Income",31.32,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225474/1    FHE610    37.92t    Fill Sand Will",37.92,10,"","411000","GST on Income",37.92,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225987/1    3SNOOP    38.58t    Fill Sand Will",38.58,10,"","411000","GST on Income",38.58,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225476/1    XN15KO    36.76t    Fill Sand Will",36.76,10.000000000000002,"","411000","GST on Income",36.76,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225478/1    XO25FD    37.16t    Fill Sand Will",37.16,10.000000000000002,"","411000","GST on Income",37.16,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225486/1    XO72FQ    30.64t    Fill Sand Will",30.64,9.999999999999998,"","411000","GST on Income",30.64,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225743/1    XO25FD    36.96t    Fill Sand Will",36.96,10,"","411000","GST on Income",36.96,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225489/1    XO20CL    31.72t    Fill Sand Will",31.72,10,"","411000","GST on Income",31.72,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225745/1    3SNOOP    38.84t    Fill Sand Will",38.84,9.999999999999998,"","411000","GST on Income",38.84,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225490/1    FHE620    37.42t    Fill Sand Will",37.42,10,"","411000","GST on Income",37.42,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225491/1    FHE222    31.38t    Fill Sand Will",31.38,10,"","411000","GST on Income",31.38,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225492/1    FHE610    37.50t    Fill Sand Will",37.5,10,"","411000","GST on Income",37.5,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225748/1    XN15KO    37.38t    Fill Sand Will",37.38,10,"","411000","GST on Income",37.38,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225496/1    XO25FD    37.20t    Fill Sand Will",37.2,10,"","411000","GST on Income",37.2,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225752/1    FHE600    36.76t    Fill Sand Will",36.76,10.000000000000002,"","411000","GST on Income",36.76,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225753/1    FHE480    36.52t    Fill Sand Will",36.52,9.999999999999998,"","411000","GST on Income",36.52,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225499/1    XN15KO    37.26t    Fill Sand Will",37.26,10.000000000000002,"","411000","GST on Income",37.26,"","","","","",""
