"Narration","Date","Description","Account Code","Line Amount","Tax Rate","Tax Amount","Line Amount Types","tracking 1 Name","tracking 1 Option","tracking 2 Name","tracking 2 Option","Status","Trans #"
"JV202102001","28/02/2021",".","5111101",12000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202102001","28/02/2021",".","5121101",360,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202102001","28/02/2021",".","1111101",-300,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202102002","11/03/2021",".","9999",-18508.49,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202102002","11/03/2021",".","3000",18508,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202102002","11/03/2021",".","5191103",0.49,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103001","11/03/2021",".","9999",-300000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103001","11/03/2021",".","5161101",308655,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103001","11/03/2021",".","9999",-8655,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103003","11/03/2021",".","9999",-420,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103003","11/03/2021",".","9999",420,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103004","11/03/2021",".","9999",-1200,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103004","11/03/2021",".","9999",1200,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103007","11/03/2021",".","9999",-74000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103007","11/03/2021",".","9999",74000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202103001","31/03/2021",".","9999",-11400,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202103001","31/03/2021",".","9999",-420,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202103001","31/03/2021",".","5111101",12000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202103001","31/03/2021",".","5121101",360,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202103001","31/03/2021",".","1111101",-540,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103008","23/04/2021",".","9999",-100000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103008","23/04/2021",".","5161101",102885,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103008","23/04/2021",".","9999",-2885,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103009","23/04/2021",".","9999",-11940,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103009","23/04/2021",".","5111101",12000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103009","23/04/2021",".","5121101",600,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103009","23/04/2021",".","9999",-1200,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202103009","23/04/2021",".","1111101",540,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202104001","23/04/2021",".","9999",-420,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202104001","23/04/2021",".","9999",420,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105001","23/04/2021",".","9999",-11544,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105001","23/04/2021",".","9999",11540,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202105001","23/04/2021",".","5131111",5,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
