"Narration","Date","Description","Account Code","Line Amount","Tax Rate","Tax Amount","Line Amount Types","tracking 1 Name","tracking 1 Option","tracking 2 Name","tracking 2 Option","Status","Trans #"
"PV202206002","28/06/2022",".","9999",-2884.62,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202207001","06/07/2022",".","9999",-3139.62,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202207001","06/07/2022",".","9999",3124.62,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202207001","06/07/2022",".","5131111",15,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202212001","16/12/2022",".","9999",15.94,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202212001","16/12/2022",".","4200001",-15.94,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202212001","16/12/2022",".","1131103",2.39,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202212001","16/12/2022",".","9999",-2.39,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202212002","23/12/2022",".","9999",-15532694.45,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202212002","23/12/2022",".","9999",15532694.45,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202212003","26/12/2022",".","9999",876.31,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202212003","26/12/2022",".","4200001",-876.31,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202212003","26/12/2022",".","1131103",131.36,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202212003","26/12/2022",".","9999",-131.36,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202212001","31/12/2022",".","9999",-8000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202212001","31/12/2022",".","5171101",8000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202212002","31/12/2022",".","9999",-131838.33,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202212002","31/12/2022",".","7111102",131838.33,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202212003","31/12/2022",".","9999",750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202212003","31/12/2022",".","5181103",27.5,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202212003","31/12/2022",".","5121101",-777.5,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202301001","26/01/2023",".","9999",-732017.25,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202301001","26/01/2023",".","9999",731700,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202301001","26/01/2023",".","7111102",317.25,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202301002","26/01/2023",".","9999",-730774.57,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202301002","26/01/2023",".","9999",779227.02,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202301002","26/01/2023",".","7111101",-48452.45,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202303001","13/03/2023",".","9999",-52122377.76,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202303001","13/03/2023",".","9999",52122377.76,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303002","13/03/2023",".","9999",-69506400,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303002","13/03/2023",".","3000",3538430.6,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303002","13/03/2023",".","7111102",461505.2,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303002","13/03/2023",".","9999",65506464.2,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303003","13/03/2023",".","9999",-173766,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303003","13/03/2023",".","9999",173766,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303004","13/03/2023",".","9999",-500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303004","13/03/2023",".","9999",500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202303002","13/03/2023",".","9999",-714726.51,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202303002","13/03/2023",".","9999",714726.51,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303006","13/03/2023",".","9999",-500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303006","13/03/2023",".","9999",500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303005","23/03/2023",".","9999",-672681.68,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303005","23/03/2023",".","9999",687515.55,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303005","23/03/2023",".","9999",-5805.06,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303005","23/03/2023",".","7111101",-9028.81,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202304001","07/04/2023",".","9999",-913870.15,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202304001","07/04/2023",".","9999",928109.07,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202304001","07/04/2023",".","9999",-1300,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202304001","07/04/2023",".","7111101",-12938.92,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202304001","27/04/2023",".","9999",-64517218.4,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202304001","27/04/2023",".","9999",68522999.8,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202304001","27/04/2023",".","9999",-500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202304001","27/04/2023",".","5131111",500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202304001","27/04/2023",".","3000",-4005781.4,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202304002","27/04/2023",".","9999",-537072.25,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202304002","27/04/2023",".","9999",537072.25,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202305002","08/05/2023",".","9999",-342.28,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202305002","08/05/2023",".","9999",338.4,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202305002","08/05/2023",".","7111102",3.88,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202305001","29/05/2023",".","9999",-215,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202305001","29/05/2023",".","5181103",200,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202305001","29/05/2023",".","5131111",15,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306004","07/06/2023",".","9999",-350.77,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306004","07/06/2023",".","9999",345.26,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306004","07/06/2023",".","7111102",5.51,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303001","14/06/2023",".","9999",-7760,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303001","14/06/2023",".","9999",8000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202303001","14/06/2023",".","2224105",-240,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306001","16/06/2023",".","9999",-1464,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306001","16/06/2023",".","5121105",103,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306001","16/06/2023",".","5121105",367,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306001","16/06/2023",".","5111105",994,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202306001","16/06/2023",".","9999",46.59,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202306001","16/06/2023",".","4200001",-46.59,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202306001","16/06/2023",".","1131103",6.99,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202306001","16/06/2023",".","9999",-6.99,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202306002","26/06/2023",".","9999",-5501.33,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202306002","26/06/2023",".","9999",-970.84,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202306002","26/06/2023",".","9999",6472.17,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306002","28/06/2023",".","9999",-3575854.77,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306002","28/06/2023",".","9999",3581352.06,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306002","28/06/2023",".","7111101",-5497.29,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306003","28/06/2023",".","9999",-3161280.29,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306003","28/06/2023",".","9999",-1300,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306003","28/06/2023",".","7111102",123326.82,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202306003","28/06/2023",".","9999",3039253.47,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202307001","04/07/2023",".","9999",-321841,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202307001","04/07/2023",".","9999",1,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202307001","04/07/2023",".","9999",321840,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202307002","04/07/2023",".","9999",-3208092.47,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202307002","04/07/2023",".","9999",3208092.47,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307002","07/07/2023",".","9999",-5646473.47,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307002","07/07/2023",".","9999",5648437.3,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307002","07/07/2023",".","7111101",-1963.83,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307003","07/07/2023",".","9999",-6045457.32,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307003","07/07/2023",".","9999",5864452.58,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307003","07/07/2023",".","7111102",182304.74,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307003","07/07/2023",".","9999",-1300,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307006","07/07/2023",".","9999",-355.64,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307006","07/07/2023",".","9999",341.07,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307006","07/07/2023",".","7111102",14.57,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307001","12/07/2023",".","9999",-255,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307001","12/07/2023",".","2224105",240,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307001","12/07/2023",".","5131111",15,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307004","21/07/2023",".","9999",-3303373.95,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307004","21/07/2023",".","9999",3308850,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307004","21/07/2023",".","7111101",-5476.05,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307004","21/07/2023",".","9999",-3393415.86,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307004","21/07/2023",".","7111101",-7407.56,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307004","21/07/2023",".","9999",3400823.42,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307004","21/07/2023",".","9999",3384317.57,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307004","21/07/2023",".","9999",-3384317.57,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307005","21/07/2023",".","9999",-3122566.86,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307005","21/07/2023",".","9999",-27049.09,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307005","21/07/2023",".","9999",-34137.83,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307005","21/07/2023",".","9999",3230294.1,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202307005","21/07/2023",".","7111101",-46540.32,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309003","07/09/2023",".","9999",-359.18,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309003","07/09/2023",".","9999",362.99,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309003","07/09/2023",".","7111101",-3.81,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309001","08/09/2023",".","9999",-1258458.45,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309001","08/09/2023",".","9999",-2321.22,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309001","08/09/2023",".","9999",1210297.08,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309001","08/09/2023",".","7111102",50482.59,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309002","08/09/2023",".","9999",-987336.92,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309002","08/09/2023",".","9999",-4789.57,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309002","08/09/2023",".","9999",952400.98,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309002","08/09/2023",".","7111102",39725.51,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309004","20/09/2023",".","9999",-240154.97,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309004","20/09/2023",".","9999",228725.2,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309004","20/09/2023",".","9999",-2362.65,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309004","20/09/2023",".","7111102",13792.42,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309005","25/09/2023",".","9999",-179176,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309005","25/09/2023",".","9999",179300,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309005","25/09/2023",".","7111101",-124,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309005","25/09/2023",".","9999",-179299.98,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309005","25/09/2023",".","9999",175924.43,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309005","25/09/2023",".","7111102",3375.55,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309006","25/09/2023",".","9999",-1369972.33,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309006","25/09/2023",".","9999",-2350.46,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309006","25/09/2023",".","7111102",71335.48,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309006","25/09/2023",".","9999",1300987.31,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309007","29/09/2023",".","9999",-238718.54,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309007","29/09/2023",".","9999",225078.7,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309007","29/09/2023",".","9999",-2386.94,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202309007","29/09/2023",".","7111102",16026.78,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202310001","09/10/2023",".","9999",-374.02,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202310001","09/10/2023",".","9999",370.31,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202310001","09/10/2023",".","7111102",3.71,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202310002","09/10/2023",".","9999",-390732.9,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202310002","09/10/2023",".","9999",-4205.4,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202310002","09/10/2023",".","9999",370233.53,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202310002","09/10/2023",".","7111102",24704.77,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202310003","25/10/2023",".","9999",-1945187.02,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202310003","25/10/2023",".","9999",-2359.03,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202310003","25/10/2023",".","7111102",107946.58,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202310003","25/10/2023",".","9999",1839599.47,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202311001","27/11/2023",".","9999",-942271.45,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202311001","27/11/2023",".","9999",-2301.9,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202311001","27/11/2023",".","7111102",30211.81,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202311001","27/11/2023",".","9999",914361.54,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202312001","15/12/2023",".","9999",550.88,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202312001","15/12/2023",".","4200001",-550.88,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202312001","15/12/2023",".","1131103",82.63,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202312001","15/12/2023",".","9999",-82.63,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202312002","25/12/2023",".","9999",-9543.34,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202312002","25/12/2023",".","9999",-1684.04,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202312002","25/12/2023",".","9999",11227.38,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202312001","31/12/2023",".","9999",-8000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202312001","31/12/2023",".","5171101",8000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202312002","31/12/2023",".","9999",428673.07,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202312002","31/12/2023",".","7111101",-428673.07,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202312002","31/12/2023",".","9999",-50664.27,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202312002","31/12/2023",".","7111102",50664.27,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202312003","31/12/2023",".","3000",467350.8,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202312003","31/12/2023",".","7111101",-467350.8,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202312001","02/01/2024",".","9999",-1024403.24,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202312001","02/01/2024",".","9999",-2236.93,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202312001","02/01/2024",".","7111102",3970.61,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202312001","02/01/2024",".","9999",1022669.56,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202401001","05/01/2024",".","9999",-1032504,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202401001","05/01/2024",".","9999",1032600,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202401001","05/01/2024",".","7111101",-96,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202401002","09/01/2024",".","9999",-45569940,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202401002","09/01/2024",".","7111102",1006890.95,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202401002","09/01/2024",".","9999",44676973.9,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202401002","09/01/2024",".","9999",-113924.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202402002","02/02/2024",".","9999",-1411348.26,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202402002","02/02/2024",".","9999",-2307.79,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202402002","02/02/2024",".","7111102",54550.87,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202402002","02/02/2024",".","9999",1359105.18,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403001","04/03/2024",".","9999",-1126388.32,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403001","04/03/2024",".","9999",-2338.34,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403001","04/03/2024",".","9999",1128726.66,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403002","08/03/2024",".","9999",-701885.74,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403002","08/03/2024",".","9999",700795.53,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403002","08/03/2024",".","7111102",1090.21,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403003","08/03/2024",".","9999",-727252.62,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403003","08/03/2024",".","9999",729469.94,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403003","08/03/2024",".","7111101",-917.32,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403003","08/03/2024",".","9999",-1300,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202403001","27/03/2024",".","9999",-3704091.65,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202403001","27/03/2024",".","9999",3657050,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202403001","27/03/2024",".","9999",-500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202403001","27/03/2024",".","9999",47541.65,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403004","29/03/2024",".","9999",-955693.99,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403004","29/03/2024",".","9999",-2381.07,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403004","29/03/2024",".","7111102",1603.25,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202403004","29/03/2024",".","9999",956471.81,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202404001","30/04/2024",".","9999",-848930.08,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202404001","30/04/2024",".","9999",-2419.6,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202404001","30/04/2024",".","7111102",14959.67,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202404001","30/04/2024",".","9999",836390.01,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202402001","27/05/2024",".","9999",-7760,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202402001","27/05/2024",".","9999",8000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202402001","27/05/2024",".","2224105",-240,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202405001","30/05/2024",".","9999",-1090224.01,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202405001","30/05/2024",".","9999",-2408.59,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202405001","30/05/2024",".","7111102",14292.16,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202405001","30/05/2024",".","9999",1078340.44,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202406001","11/06/2024",".","9999",-255,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202406001","11/06/2024",".","2224105",240,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202406001","11/06/2024",".","5131111",15,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202406001","21/06/2024",".","9999",585.33,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202406001","21/06/2024",".","4200001",-585.33,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202406001","21/06/2024",".","1131103",87.8,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202406001","21/06/2024",".","9999",-87.8,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202406002","24/06/2024",".","9999",-3793736.35,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202406002","24/06/2024",".","9999",3691490,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202406002","24/06/2024",".","9999",-500,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202406002","24/06/2024",".","9999",102746.35,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202406003","25/06/2024",".","9999",-1221.38,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202406003","25/06/2024",".","9999",-12.5,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202406003","25/06/2024",".","9999",1233.88,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407001","03/07/2024",".","9999",-1188637.21,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407001","03/07/2024",".","9999",-2405,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407001","03/07/2024",".","7111102",10872.27,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407001","03/07/2024",".","9999",1305908.15,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407001","03/07/2024",".","9999",-123333.21,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407001","03/07/2024",".","9999",-2405,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202407001","05/07/2024",".","9999",-5097.36,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202407001","05/07/2024",".","9999",-51.49,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"RV202407001","05/07/2024",".","9999",5148.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407002","30/07/2024",".","9999",-480389.18,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407002","30/07/2024",".","9999",-2350.04,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407002","30/07/2024",".","7111101",-15715.41,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407002","30/07/2024",".","9999",762931.31,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407002","30/07/2024",".","9999",-122904.69,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407002","30/07/2024",".","9999",-2350.04,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407002","30/07/2024",".","9999",-136871.9,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407002","30/07/2024",".","9999",-2350.04,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202407002","30/07/2024",".","5191103",-0.01,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202408001","19/08/2024",".","9999",-343902.33,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202408001","19/08/2024",".","9999",-2252.1,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202408001","19/08/2024",".","7111101",-22650.89,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202408001","19/08/2024",".","9999",368805.32,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202408002","29/08/2024",".","9999",-906934.65,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202408002","29/08/2024",".","9999",-2220.94,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202408002","29/08/2024",".","7111101",-83093.19,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202408002","29/08/2024",".","9999",1116790.53,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
