"Account Code","Balance","Conversion Date"
"139",-21,"NaN-NaN-NaN"
"139",-21,"NaN-NaN-NaN"
"139",-21,"NaN-NaN-NaN"
"139",-21,"NaN-NaN-NaN"
"139",-21,"NaN-NaN-NaN"
"123",-7,"NaN-NaN-NaN"
"123",-7,"NaN-NaN-NaN"
"123",-7,"NaN-NaN-NaN"
"121",-8,"NaN-NaN-NaN"
"121",-8,"NaN-NaN-NaN"
"121",-8,"NaN-NaN-NaN"
"121",-8,"NaN-NaN-NaN"
"122",-8,"NaN-NaN-NaN"
"122",-8,"NaN-NaN-NaN"
"122",-8,"NaN-NaN-NaN"
"122",-8,"NaN-NaN-NaN"
"124",-20,"NaN-NaN-NaN"
"124",-20,"NaN-NaN-NaN"
"124",-20,"NaN-NaN-NaN"
"124",-20,"NaN-NaN-NaN"
"125",-25,"NaN-NaN-NaN"
"125",-25,"NaN-NaN-NaN"
"125",-25,"NaN-NaN-NaN"
"125",-25,"NaN-NaN-NaN"
"125",-25,"NaN-NaN-NaN"
"125",-25,"NaN-NaN-NaN"
"126",-25,"NaN-NaN-NaN"
"126",-25,"NaN-NaN-NaN"
"126",-25,"NaN-NaN-NaN"
"126",-25,"NaN-NaN-NaN"
"127",-29,"NaN-NaN-NaN"
"127",-29,"NaN-NaN-NaN"
"127",-29,"NaN-NaN-NaN"
"127",-29,"NaN-NaN-NaN"
"128",-9,"NaN-NaN-NaN"
"128",-9,"NaN-NaN-NaN"
"128",-9,"NaN-NaN-NaN"
"129",-9,"NaN-NaN-NaN"
"129",-9,"NaN-NaN-NaN"
"129",-9,"NaN-NaN-NaN"
"129",-9,"NaN-NaN-NaN"
"130",-25,"NaN-NaN-NaN"
"130",-25,"NaN-NaN-NaN"
"130",-25,"NaN-NaN-NaN"
"130",-25,"NaN-NaN-NaN"
"131",-27,"NaN-NaN-NaN"
"131",-27,"NaN-NaN-NaN"
"131",-27,"NaN-NaN-NaN"
"131",-27,"NaN-NaN-NaN"
"132",-15,"NaN-NaN-NaN"
"132",-15,"NaN-NaN-NaN"
"132",-15,"NaN-NaN-NaN"
"132",-15,"NaN-NaN-NaN"
"133",-25,"NaN-NaN-NaN"
"133",-25,"NaN-NaN-NaN"
"133",-25,"NaN-NaN-NaN"
"134",-31,"NaN-NaN-NaN"
"134",-31,"NaN-NaN-NaN"
"135",-31,"NaN-NaN-NaN"
"135",-31,"NaN-NaN-NaN"
"135",-31,"NaN-NaN-NaN"
"135",-31,"NaN-NaN-NaN"
"141",-31,"NaN-NaN-NaN"
"141",-31,"NaN-NaN-NaN"
"142",-2,"NaN-NaN-NaN"
"142",-2,"NaN-NaN-NaN"
"142",-2,"NaN-NaN-NaN"
"142",-2,"NaN-NaN-NaN"
"143",-5,"NaN-NaN-NaN"
"143",-5,"NaN-NaN-NaN"
"143",-5,"NaN-NaN-NaN"
"144",-9,"NaN-NaN-NaN"
"144",-9,"NaN-NaN-NaN"
"144",-9,"NaN-NaN-NaN"
"144",-9,"NaN-NaN-NaN"
"146",-2,"NaN-NaN-NaN"
"146",-2,"NaN-NaN-NaN"
"146",-2,"NaN-NaN-NaN"
"146",-2,"NaN-NaN-NaN"
"147",-4,"NaN-NaN-NaN"
"147",-4,"NaN-NaN-NaN"
"147",-4,"NaN-NaN-NaN"
"148",-8,"NaN-NaN-NaN"
"148",-8,"NaN-NaN-NaN"
"148",-8,"NaN-NaN-NaN"
"149",-8,"NaN-NaN-NaN"
"149",-8,"NaN-NaN-NaN"
"149",-8,"NaN-NaN-NaN"
"149",-8,"NaN-NaN-NaN"
"150",-27,"NaN-NaN-NaN"
"150",-27,"NaN-NaN-NaN"
"150",-27,"NaN-NaN-NaN"
"150",-27,"NaN-NaN-NaN"
"151",-29,"NaN-NaN-NaN"
"151",-29,"NaN-NaN-NaN"
"151",-29,"NaN-NaN-NaN"
"151",-29,"NaN-NaN-NaN"
"152",-30,"NaN-NaN-NaN"
"152",-30,"NaN-NaN-NaN"
"152",-30,"NaN-NaN-NaN"
"152",-30,"NaN-NaN-NaN"
"145",-27,"NaN-NaN-NaN"
"145",-27,"NaN-NaN-NaN"
"145",-27,"NaN-NaN-NaN"
"153",-30,"NaN-NaN-NaN"
"153",-30,"NaN-NaN-NaN"
"153",-30,"NaN-NaN-NaN"
"153",-30,"NaN-NaN-NaN"
"154",-11,"NaN-NaN-NaN"
"154",-11,"NaN-NaN-NaN"
"154",-11,"NaN-NaN-NaN"
"155",-21,"NaN-NaN-NaN"
"155",-21,"NaN-NaN-NaN"
"155",-21,"NaN-NaN-NaN"
"155",-21,"NaN-NaN-NaN"
"156",-24,"NaN-NaN-NaN"
"156",-24,"NaN-NaN-NaN"
"156",-24,"NaN-NaN-NaN"
"156",-24,"NaN-NaN-NaN"
"157",-25,"NaN-NaN-NaN"
"157",-25,"NaN-NaN-NaN"
"157",-25,"NaN-NaN-NaN"
"158",-3,"NaN-NaN-NaN"
"158",-3,"NaN-NaN-NaN"
"158",-3,"NaN-NaN-NaN"
"158",-3,"NaN-NaN-NaN"
"158",-3,"NaN-NaN-NaN"
"158",-3,"NaN-NaN-NaN"
"159",-5,"NaN-NaN-NaN"
"159",-5,"NaN-NaN-NaN"
"159",-5,"NaN-NaN-NaN"
"160",-30,"NaN-NaN-NaN"
"160",-30,"NaN-NaN-NaN"
"160",-30,"NaN-NaN-NaN"
"160",-30,"NaN-NaN-NaN"
"160",-30,"NaN-NaN-NaN"
"160",-30,"NaN-NaN-NaN"
"160",-30,"NaN-NaN-NaN"
"160",-30,"NaN-NaN-NaN"
"160",-30,"NaN-NaN-NaN"
"161",-19,"NaN-NaN-NaN"
"161",-19,"NaN-NaN-NaN"
"161",-19,"NaN-NaN-NaN"
"161",-19,"NaN-NaN-NaN"
"162",-29,"NaN-NaN-NaN"
"162",-29,"NaN-NaN-NaN"
"162",-29,"NaN-NaN-NaN"
"162",-29,"NaN-NaN-NaN"
"162",-29,"NaN-NaN-NaN"
"162",-29,"NaN-NaN-NaN"
"163",-9,"NaN-NaN-NaN"
"163",-9,"NaN-NaN-NaN"
"163",-9,"NaN-NaN-NaN"
"163",-9,"NaN-NaN-NaN"
"163",-9,"NaN-NaN-NaN"
"164",-25,"NaN-NaN-NaN"
"164",-25,"NaN-NaN-NaN"
"164",-25,"NaN-NaN-NaN"
"164",-25,"NaN-NaN-NaN"
"165",-26,"NaN-NaN-NaN"
"165",-26,"NaN-NaN-NaN"
"165",-26,"NaN-NaN-NaN"
"165",-26,"NaN-NaN-NaN"
"165",-26,"NaN-NaN-NaN"
"166",-1,"NaN-NaN-NaN"
"166",-1,"NaN-NaN-NaN"
"166",-1,"NaN-NaN-NaN"
"166",-1,"NaN-NaN-NaN"
"167",-1,"NaN-NaN-NaN"
"167",-1,"NaN-NaN-NaN"
"167",-1,"NaN-NaN-NaN"
"167",-1,"NaN-NaN-NaN"
"167",-1,"NaN-NaN-NaN"
