"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","Total","InventoryItemCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount","TrackingName1","TrackingOption1","TrackingName2","TrackingOption2","Currency","BrandingTheme"
"HL GROUP ENGINEERING PTY LTD",,,,,,,,,,"PROV DD","82,194","30/06/2022","30/06/2022",,,"Prov for DD HL Group",1,0,,"9999","BAS Excluded",,"Class","New Crane",,,,
"DLL",,,,,,,,,,"PROV DD","82,195","30/06/2022","30/06/2022",,,"DLL Provision for Doubtful Debts",1,0,,"9999","BAS Excluded",,"Class","New Crane",,,,
"AUSPAC STEEL PTY LTD",,,,,,,,,,"OFFSET","82,240","30/09/2022","30/09/2022",,,"Offset Auspac Creditrs",1,-4130.5,,"9999","BAS Excluded",,"Class","Sydney",,,,
"RAILCORP FLEMINGTON",,,,,,,,,,"RAILFLEM","84,108","21/12/2022","21/12/2022",,,".",1,630.85,,"9999","BAS Excluded",,"Class","Sydney:Sydney Train",,,,
